Flux,ParamName,FD,CS,AbsError,RelError
succinate,T^{s}_{max},1,1,4.66293670342566e-15,4.66293670342566e-15
succinate,T^{m}_{max},0,0,0,0
succinate,K^{s}_{m},-0.892772779699243,-0.892649315512803,0.000123464186440048,0.000138312083249759
succinate,K^{m}_{m},0.422792918006969,0.422527297898167,0.000265620108802156,0.000628646030974721
succinate,K^{p}_{m},0.171116685526289,0.17109135274775,2.53327785389446e-05,0.000148065803046716
succinate,\lambda_{21},-0.189382105825509,-0.18938023308017,1.87274533886006e-06,9.88881103587654e-06
succinate,\lambda_{31},0.436377440665143,0.436350402495393,2.70381697499711e-05,6.19643515746649e-05
malate,T^{s}_{max},0,0,0,0
malate,T^{m}_{max},1,1,2.88657986402541e-15,2.88657986402541e-15
malate,K^{s}_{m},0.107306994016936,0.107292416780968,1.45772359683438e-05,0.000135864550409956
malate,K^{m}_{m},-0.577241417375357,-0.576824133421068,0.000417283954289083,0.000723416254819691
malate,K^{p}_{m},0.171116685526294,0.17109135274775,2.53327785437185e-05,0.000148065803074619
malate,\lambda_{21},-0.19756420219748,-0.197562441915793,1.76028168658027e-06,8.91000166585584e-06
malate,\lambda_{31},0.51853456964632,0.518502842258515,3.17273878057689e-05,6.11903835812539e-05
phosphate,T^{s}_{max},0.247571716495622,0.24757171649562,1.9151347174784e-15,7.73567653279279e-15
phosphate,T^{m}_{max},0.752428283504384,0.75242828350438,3.5527136788005e-15,4.72166418605903e-15
phosphate,K^{s}_{m},-0.140283848794522,-0.140265329554999,1.85192395229239e-05,0.000132030057475196
phosphate,K^{m}_{m},-0.329659724129395,-0.329440852543729,0.000218871585666136,0.000664372933642417
phosphate,K^{p}_{m},0.171116685526291,0.17109135274775,2.53327785413593e-05,0.00014806580306083
phosphate,\lambda_{21},-0.189259317602257,-0.189257582480581,1.7351216759498e-06,9.16804311461515e-06
phosphate,\lambda_{31},0.478502415163642,0.47847303495988,2.9380203761753e-05,6.14040951424076e-05
